KABAALE SCHOOL OF COMPREHENSIVE NURSING - MOCK VOTER REGISTRY
Total Voters: 627
Default Password: password123
====================================================================================================
#    | REG NUMBER         | NAME                      | GENDER   | YEAR     | COURSE
----------------------------------------------------------------------------------------------------
001  | 25/U/1000/EVE      | John Akullo               | Female   | Year 1   | Nursing (Certificate)
291  | 23/U/1290/EVE      | James Nakato              | Female   | Year 3   | Midwifery (Certificate)
292  | 25/U/1291/EVE      | Thomas Byaruhanga         | Female   | Year 1   | Midwifery (Diploma)
293  | 24/U/1292/EVE      | Elizabeth Babirye         | Male     | Year 2   | Nursing (Certificate)
294  | 23/U/1293/EVE      | Barbara Namakula          | Female   | Year 3   | Nursing (Diploma)
295  | 25/U/1294/EVE      | John Musoke               | Female   | Year 1   | Midwifery (Certificate)
296  | 24/U/1295/EVE      | Joseph Byaruhanga         | Male     | Year 2   | Midwifery (Diploma)
297  | 23/U/1296/EVE      | Elizabeth Nantongo        | Female   | Year 3   | Nursing (Certificate)
298  | 25/U/1297/EVE      | Robert Namakula           | Male     | Year 1   | Nursing (Diploma)
299  | 24/U/1298/EVE      | Joseph Nakato             | Female   | Year 2   | Midwifery (Certificate)
300  | 23/U/1299/EVE      | Michael Tumusiime         | Female   | Year 3   | Midwifery (Diploma)
301  | 25/U/1300/EVE      | Jessica Musoke            | Female   | Year 1   | Nursing (Certificate)
302  | 24/U/1301/EVE      | Patricia Byaruhanga       | Female   | Year 2   | Nursing (Diploma)
303  | 23/U/1302/EVE      | Barbara Okello            | Male     | Year 3   | Midwifery (Certificate)
304  | 25/U/1303/EVE      | Michael Kato              | Female   | Year 1   | Midwifery (Diploma)
305  | 24/U/1304/EVE      | Mariam Akullo             | Female   | Year 2   | Nursing (Certificate)
306  | 23/U/1305/EVE      | David Tumusiime           | Female   | Year 3   | Nursing (Diploma)
307  | 25/U/1306/EVE      | Patricia Lubega           | Female   | Year 1   | Midwifery (Certificate)
308  | 24/U/1307/EVE      | Karen Musoke              | Female   | Year 2   | Midwifery (Diploma)
309  | 23/U/1308/EVE      | Charles Byaruhanga        | Male     | Year 3   | Nursing (Certificate)
310  | 25/U/1309/EVE      | John Mugisha              | Female   | Year 1   | Nursing (Diploma)
311  | 24/U/1310/EVE      | Richard Nantongo          | Female   | Year 2   | Midwifery (Certificate)
312  | 23/U/1311/EVE      | Joseph Ochieng            | Female   | Year 3   | Midwifery (Diploma)
313  | 25/U/1312/EVE      | Charles Tumusiime         | Female   | Year 1   | Nursing (Certificate)
314  | 24/U/1313/EVE      | Mariam Babirye            | Female   | Year 2   | Nursing (Diploma)
315  | 23/U/1314/EVE      | Michael Nakato            | Male     | Year 3   | Midwifery (Certificate)
316  | 25/U/1315/EVE      | James Byaruhanga          | Male     | Year 1   | Midwifery (Diploma)
317  | 24/U/1316/EVE      | Mariam Okello             | Male     | Year 2   | Nursing (Certificate)
318  | 23/U/1317/EVE      | Mariam Mugisha            | Female   | Year 3   | Nursing (Diploma)
319  | 25/U/1318/EVE      | John Akullo               | Male     | Year 1   | Midwifery (Certificate)
320  | 24/U/1319/EVE      | David Akullo              | Female   | Year 2   | Midwifery (Diploma)
321  | 23/U/1320/EVE      | Elizabeth Okello          | Female   | Year 3   | Nursing (Certificate)
322  | 25/U/1321/EVE      | John Babirye              | Female   | Year 1   | Nursing (Diploma)
323  | 24/U/1322/EVE      | Elizabeth Mugisha         | Female   | Year 2   | Midwifery (Certificate)
324  | 23/U/1323/EVE      | Thomas Babirye            | Male     | Year 3   | Midwifery (Diploma)
325  | 25/U/1324/EVE      | Susan Mugisha             | Male     | Year 1   | Nursing (Certificate)
326  | 24/U/1325/EVE      | Robert Namakula           | Male     | Year 2   | Nursing (Diploma)
327  | 23/U/1326/EVE      | Joseph Kato               | Female   | Year 3   | Midwifery (Certificate)
328  | 25/U/1327/EVE      | Joseph Byaruhanga         | Male     | Year 1   | Midwifery (Diploma)
329  | 24/U/1328/EVE      | Patricia Ochieng          | Female   | Year 2   | Nursing (Certificate)
330  | 23/U/1329/EVE      | Mariam Byaruhanga         | Female   | Year 3   | Nursing (Diploma)
331  | 25/U/1330/EVE      | Charles Nantongo          | Female   | Year 1   | Midwifery (Certificate)
332  | 24/U/1331/EVE      | Barbara Musoke            | Female   | Year 2   | Midwifery (Diploma)
333  | 23/U/1332/EVE      | Charles Akullo            | Female   | Year 3   | Nursing (Certificate)
334  | 25/U/1333/EVE      | Jennifer Musoke           | Female   | Year 1   | Nursing (Diploma)
335  | 24/U/1334/EVE      | John Nantongo             | Female   | Year 2   | Midwifery (Certificate)
336  | 23/U/1335/EVE      | Robert Lubega             | Male     | Year 3   | Midwifery (Diploma)
337  | 25/U/1336/EVE      | Thomas Musoke             | Female   | Year 1   | Nursing (Certificate)
338  | 24/U/1337/EVE      | John Namakula             | Male     | Year 2   | Nursing (Diploma)
339  | 23/U/1338/EVE      | Thomas Nantongo           | Male     | Year 3   | Midwifery (Certificate)
340  | 25/U/1339/EVE      | Barbara Mugisha           | Female   | Year 1   | Midwifery (Diploma)
341  | 24/U/1340/EVE      | Susan Byaruhanga          | Female   | Year 2   | Nursing (Certificate)
342  | 23/U/1341/EVE      | Patricia Okello           | Male     | Year 3   | Nursing (Diploma)
343  | 25/U/1342/EVE      | Thomas Musoke             | Female   | Year 1   | Midwifery (Certificate)
344  | 24/U/1343/EVE      | James Okello              | Female   | Year 2   | Midwifery (Diploma)
345  | 23/U/1344/EVE      | Thomas Lubega             | Female   | Year 3   | Nursing (Certificate)
346  | 25/U/1345/EVE      | David Namakula            | Female   | Year 1   | Nursing (Diploma)
347  | 24/U/1346/EVE      | David Mugisha             | Male     | Year 2   | Midwifery (Certificate)
348  | 23/U/1347/EVE      | Charles Mugisha           | Female   | Year 3   | Midwifery (Diploma)
349  | 25/U/1348/EVE      | Charles Nakato            | Male     | Year 1   | Nursing (Certificate)
350  | 24/U/1349/EVE      | Charles Nantongo          | Male     | Year 2   | Nursing (Diploma)
351  | 23/U/1350/EVE      | Sarah Namakula            | Male     | Year 3   | Midwifery (Certificate)
352  | 25/U/1351/EVE      | Jessica Nakato            | Male     | Year 1   | Midwifery (Diploma)
353  | 24/U/1352/EVE      | William Okello            | Male     | Year 2   | Nursing (Certificate)
354  | 23/U/1353/EVE      | Charles Byaruhanga        | Female   | Year 3   | Nursing (Diploma)
355  | 25/U/1354/EVE      | Richard Ochieng           | Male     | Year 1   | Midwifery (Certificate)
356  | 24/U/1355/EVE      | Richard Nantongo          | Male     | Year 2   | Midwifery (Diploma)
357  | 23/U/1356/EVE      | Sarah Tumusiime           | Male     | Year 3   | Nursing (Certificate)
358  | 25/U/1357/EVE      | Richard Babirye           | Male     | Year 1   | Nursing (Diploma)
359  | 24/U/1358/EVE      | Susan Nantongo            | Female   | Year 2   | Midwifery (Certificate)
360  | 23/U/1359/EVE      | Mariam Lubega             | Female   | Year 3   | Midwifery (Diploma)
361  | 25/U/1360/EVE      | Susan Lubega              | Male     | Year 1   | Nursing (Certificate)
362  | 24/U/1361/EVE      | William Nakato            | Female   | Year 2   | Nursing (Diploma)
363  | 23/U/1362/EVE      | John Okello               | Male     | Year 3   | Midwifery (Certificate)
364  | 25/U/1363/EVE      | James Musoke              | Female   | Year 1   | Midwifery (Diploma)
365  | 24/U/1364/EVE      | Robert Tumusiime          | Male     | Year 2   | Nursing (Certificate)
366  | 23/U/1365/EVE      | Jennifer Ochieng          | Female   | Year 3   | Nursing (Diploma)
367  | 25/U/1366/EVE      | Linda Ochieng             | Female   | Year 1   | Midwifery (Certificate)
368  | 24/U/1367/EVE      | David Tumusiime           | Male     | Year 2   | Midwifery (Diploma)
369  | 23/U/1368/EVE      | Charles Nakato            | Female   | Year 3   | Nursing (Certificate)
370  | 25/U/1369/EVE      | Karen Babirye             | Female   | Year 1   | Nursing (Diploma)
371  | 24/U/1370/EVE      | William Byaruhanga        | Male     | Year 2   | Midwifery (Certificate)
372  | 23/U/1371/EVE      | Robert Namakula           | Female   | Year 3   | Midwifery (Diploma)
373  | 25/U/1372/EVE      | Patricia Babirye          | Male     | Year 1   | Nursing (Certificate)
374  | 24/U/1373/EVE      | Mariam Ochieng            | Female   | Year 2   | Nursing (Diploma)
375  | 23/U/1374/EVE      | Charles Namakula          | Female   | Year 3   | Midwifery (Certificate)
376  | 25/U/1375/EVE      | Patricia Byaruhanga       | Female   | Year 1   | Midwifery (Diploma)
377  | 24/U/1376/EVE      | Charles Nantongo          | Female   | Year 2   | Nursing (Certificate)
378  | 23/U/1377/EVE      | Sarah Lubega              | Female   | Year 3   | Nursing (Diploma)
379  | 25/U/1378/EVE      | James Lubega              | Male     | Year 1   | Midwifery (Certificate)
380  | 24/U/1379/EVE      | James Nakato              | Female   | Year 2   | Midwifery (Diploma)
381  | 23/U/1380/EVE      | Charles Byaruhanga        | Male     | Year 3   | Nursing (Certificate)
382  | 25/U/1381/EVE      | Mariam Namakula           | Female   | Year 1   | Nursing (Diploma)
383  | 24/U/1382/EVE      | Joseph Tumusiime          | Female   | Year 2   | Midwifery (Certificate)
384  | 23/U/1383/EVE      | Michael Akullo            | Male     | Year 3   | Midwifery (Diploma)
385  | 25/U/1384/EVE      | Susan Nakato              | Female   | Year 1   | Nursing (Certificate)
386  | 24/U/1385/EVE      | Karen Kato                | Male     | Year 2   | Nursing (Diploma)
387  | 23/U/1386/EVE      | Charles Kato              | Female   | Year 3   | Midwifery (Certificate)
388  | 25/U/1387/EVE      | Robert Tumusiime          | Female   | Year 1   | Midwifery (Diploma)
389  | 24/U/1388/EVE      | David Nantongo            | Male     | Year 2   | Nursing (Certificate)
390  | 23/U/1389/EVE      | James Kato                | Female   | Year 3   | Nursing (Diploma)
391  | 25/U/1390/EVE      | Jennifer Okello           | Female   | Year 1   | Midwifery (Certificate)
392  | 24/U/1391/EVE      | Karen Namakula            | Female   | Year 2   | Midwifery (Diploma)
393  | 23/U/1392/EVE      | Mariam Namakula           | Male     | Year 3   | Nursing (Certificate)
394  | 25/U/1393/EVE      | Elizabeth Kato            | Male     | Year 1   | Nursing (Diploma)
395  | 24/U/1394/EVE      | Joseph Nantongo           | Female   | Year 2   | Midwifery (Certificate)
396  | 23/U/1395/EVE      | Linda Lubega              | Female   | Year 3   | Midwifery (Diploma)
397  | 25/U/1396/EVE      | Jennifer Akullo           | Male     | Year 1   | Nursing (Certificate)
398  | 24/U/1397/EVE      | Sarah Babirye             | Male     | Year 2   | Nursing (Diploma)
399  | 23/U/1398/EVE      | Jennifer Tumusiime        | Male     | Year 3   | Midwifery (Certificate)
400  | 25/U/1399/EVE      | Karen Musoke              | Female   | Year 1   | Midwifery (Diploma)
401  | 24/U/1400/EVE      | Joseph Tumusiime          | Male     | Year 2   | Nursing (Certificate)
402  | 23/U/1401/EVE      | Mariam Mugisha            | Female   | Year 3   | Nursing (Diploma)
403  | 25/U/1402/EVE      | Mariam Musoke             | Female   | Year 1   | Midwifery (Certificate)
404  | 24/U/1403/EVE      | Joseph Tumusiime          | Male     | Year 2   | Midwifery (Diploma)
405  | 23/U/1404/EVE      | David Nantongo            | Male     | Year 3   | Nursing (Certificate)
406  | 25/U/1405/EVE      | William Akullo            | Male     | Year 1   | Nursing (Diploma)
407  | 24/U/1406/EVE      | Jessica Byaruhanga        | Female   | Year 2   | Midwifery (Certificate)
408  | 23/U/1407/EVE      | Karen Nantongo            | Female   | Year 3   | Midwifery (Diploma)
409  | 25/U/1408/EVE      | Mariam Okello             | Male     | Year 1   | Nursing (Certificate)
410  | 24/U/1409/EVE      | Jessica Nakato            | Female   | Year 2   | Nursing (Diploma)
411  | 23/U/1410/EVE      | Jennifer Nantongo         | Female   | Year 3   | Midwifery (Certificate)
412  | 25/U/1411/EVE      | Thomas Tumusiime          | Male     | Year 1   | Midwifery (Diploma)
413  | 24/U/1412/EVE      | Mariam Byaruhanga         | Female   | Year 2   | Nursing (Certificate)
414  | 23/U/1413/EVE      | James Lubega              | Female   | Year 3   | Nursing (Diploma)
415  | 25/U/1414/EVE      | Patricia Babirye          | Female   | Year 1   | Midwifery (Certificate)
416  | 24/U/1415/EVE      | Charles Namakula          | Female   | Year 2   | Midwifery (Diploma)
417  | 23/U/1416/EVE      | Susan Nakato              | Female   | Year 3   | Nursing (Certificate)
418  | 25/U/1417/EVE      | Thomas Mugisha            | Male     | Year 1   | Nursing (Diploma)
419  | 24/U/1418/EVE      | James Mugisha             | Female   | Year 2   | Midwifery (Certificate)
420  | 23/U/1419/EVE      | Sarah Tumusiime           | Male     | Year 3   | Midwifery (Diploma)
421  | 25/U/1420/EVE      | William Nantongo          | Female   | Year 1   | Nursing (Certificate)
422  | 24/U/1421/EVE      | Robert Nakato             | Male     | Year 2   | Nursing (Diploma)
423  | 23/U/1422/EVE      | Sarah Lubega              | Female   | Year 3   | Midwifery (Certificate)
424  | 25/U/1423/EVE      | Susan Nantongo            | Male     | Year 1   | Midwifery (Diploma)
425  | 24/U/1424/EVE      | Mariam Babirye            | Male     | Year 2   | Nursing (Certificate)
426  | 23/U/1425/EVE      | Barbara Akullo            | Male     | Year 3   | Nursing (Diploma)
427  | 25/U/1426/EVE      | Michael Byaruhanga        | Female   | Year 1   | Midwifery (Certificate)
428  | 24/U/1427/EVE      | Robert Byaruhanga         | Female   | Year 2   | Midwifery (Diploma)
429  | 23/U/1428/EVE      | David Babirye             | Male     | Year 3   | Nursing (Certificate)
430  | 25/U/1429/EVE      | Patricia Babirye          | Male     | Year 1   | Nursing (Diploma)
431  | 24/U/1430/EVE      | Mariam Nakato             | Male     | Year 2   | Midwifery (Certificate)
432  | 23/U/1431/EVE      | James Lubega              | Female   | Year 3   | Midwifery (Diploma)
433  | 25/U/1432/EVE      | James Nakato              | Female   | Year 1   | Nursing (Certificate)
434  | 24/U/1433/EVE      | Susan Musoke              | Male     | Year 2   | Nursing (Diploma)
435  | 23/U/1434/EVE      | Jennifer Tumusiime        | Male     | Year 3   | Midwifery (Certificate)
436  | 25/U/1435/EVE      | William Nakato            | Male     | Year 1   | Midwifery (Diploma)
437  | 24/U/1436/EVE      | Joseph Musoke             | Male     | Year 2   | Nursing (Certificate)
438  | 23/U/1437/EVE      | James Kato                | Male     | Year 3   | Nursing (Diploma)
439  | 25/U/1438/EVE      | James Lubega              | Female   | Year 1   | Midwifery (Certificate)
440  | 24/U/1439/EVE      | John Kato                 | Male     | Year 2   | Midwifery (Diploma)
441  | 23/U/1440/EVE      | Karen Mugisha             | Male     | Year 3   | Nursing (Certificate)
442  | 25/U/1441/EVE      | Jessica Byaruhanga        | Male     | Year 1   | Nursing (Diploma)
443  | 24/U/1442/EVE      | William Kato              | Female   | Year 2   | Midwifery (Certificate)
444  | 23/U/1443/EVE      | Barbara Babirye           | Male     | Year 3   | Midwifery (Diploma)
445  | 25/U/1444/EVE      | Barbara Tumusiime         | Female   | Year 1   | Nursing (Certificate)
446  | 24/U/1445/EVE      | Elizabeth Tumusiime       | Male     | Year 2   | Nursing (Diploma)
447  | 23/U/1446/EVE      | Susan Musoke              | Female   | Year 3   | Midwifery (Certificate)
448  | 25/U/1447/EVE      | Patricia Tumusiime        | Male     | Year 1   | Midwifery (Diploma)
449  | 24/U/1448/EVE      | Jessica Musoke            | Male     | Year 2   | Nursing (Certificate)
450  | 23/U/1449/EVE      | Jennifer Lubega           | Male     | Year 3   | Nursing (Diploma)
451  | 25/U/1450/EVE      | Linda Musoke              | Male     | Year 1   | Midwifery (Certificate)
452  | 24/U/1451/EVE      | David Namakula            | Female   | Year 2   | Midwifery (Diploma)
453  | 23/U/1452/EVE      | Mariam Nakato             | Male     | Year 3   | Nursing (Certificate)
454  | 25/U/1453/EVE      | James Nantongo            | Female   | Year 1   | Nursing (Diploma)
455  | 24/U/1454/EVE      | Susan Nantongo            | Male     | Year 2   | Midwifery (Certificate)
456  | 23/U/1455/EVE      | Elizabeth Mugisha         | Male     | Year 3   | Midwifery (Diploma)
457  | 25/U/1456/EVE      | James Akullo              | Female   | Year 1   | Nursing (Certificate)
458  | 24/U/1457/EVE      | Michael Lubega            | Female   | Year 2   | Nursing (Diploma)
459  | 23/U/1458/EVE      | Barbara Nakato            | Female   | Year 3   | Midwifery (Certificate)
460  | 25/U/1459/EVE      | Robert Namakula           | Female   | Year 1   | Midwifery (Diploma)
461  | 24/U/1460/EVE      | Jennifer Nakato           | Male     | Year 2   | Nursing (Certificate)
462  | 23/U/1461/EVE      | Thomas Lubega             | Female   | Year 3   | Nursing (Diploma)
463  | 25/U/1462/EVE      | Robert Nakato             | Male     | Year 1   | Midwifery (Certificate)
464  | 24/U/1463/EVE      | Thomas Ochieng            | Female   | Year 2   | Midwifery (Diploma)
465  | 23/U/1464/EVE      | Sarah Musoke              | Male     | Year 3   | Nursing (Certificate)
466  | 25/U/1465/EVE      | Thomas Byaruhanga         | Female   | Year 1   | Nursing (Diploma)
467  | 24/U/1466/EVE      | John Lubega               | Male     | Year 2   | Midwifery (Certificate)
468  | 23/U/1467/EVE      | Charles Kato              | Male     | Year 3   | Midwifery (Diploma)
469  | 25/U/1468/EVE      | Robert Okello             | Female   | Year 1   | Nursing (Certificate)
470  | 24/U/1469/EVE      | Susan Babirye             | Male     | Year 2   | Nursing (Diploma)
471  | 23/U/1470/EVE      | David Tumusiime           | Male     | Year 3   | Midwifery (Certificate)
472  | 25/U/1471/EVE      | Patricia Nantongo         | Female   | Year 1   | Midwifery (Diploma)
473  | 24/U/1472/EVE      | David Nakato              | Male     | Year 2   | Nursing (Certificate)
474  | 23/U/1473/EVE      | David Musoke              | Female   | Year 3   | Nursing (Diploma)
475  | 25/U/1474/EVE      | Robert Babirye            | Male     | Year 1   | Midwifery (Certificate)
476  | 24/U/1475/EVE      | John Kato                 | Male     | Year 2   | Midwifery (Diploma)
477  | 23/U/1476/EVE      | Joseph Kato               | Female   | Year 3   | Nursing (Certificate)
478  | 25/U/1477/EVE      | Robert Mugisha            | Female   | Year 1   | Nursing (Diploma)
479  | 24/U/1478/EVE      | Charles Namakula          | Male     | Year 2   | Midwifery (Certificate)
480  | 23/U/1479/EVE      | William Byaruhanga        | Female   | Year 3   | Midwifery (Diploma)
481  | 25/U/1480/EVE      | Patricia Mugisha          | Female   | Year 1   | Nursing (Certificate)
482  | 24/U/1481/EVE      | Robert Nantongo           | Female   | Year 2   | Nursing (Diploma)
483  | 23/U/1482/EVE      | Richard Byaruhanga        | Female   | Year 3   | Midwifery (Certificate)
484  | 25/U/1483/EVE      | Joseph Nantongo           | Female   | Year 1   | Midwifery (Diploma)
485  | 24/U/1484/EVE      | Karen Akullo              | Female   | Year 2   | Nursing (Certificate)
486  | 23/U/1485/EVE      | Thomas Nakato             | Male     | Year 3   | Nursing (Diploma)
487  | 25/U/1486/EVE      | Jennifer Namakula         | Female   | Year 1   | Midwifery (Certificate)
488  | 24/U/1487/EVE      | Joseph Namakula           | Female   | Year 2   | Midwifery (Diploma)
489  | 23/U/1488/EVE      | Jennifer Okello           | Male     | Year 3   | Nursing (Certificate)
490  | 25/U/1489/EVE      | Michael Nantongo          | Male     | Year 1   | Nursing (Diploma)
491  | 24/U/1490/EVE      | Sarah Okello              | Female   | Year 2   | Midwifery (Certificate)
492  | 23/U/1491/EVE      | Karen Musoke              | Female   | Year 3   | Midwifery (Diploma)
493  | 25/U/1492/EVE      | Karen Namakula            | Male     | Year 1   | Nursing (Certificate)
494  | 24/U/1493/EVE      | Barbara Lubega            | Female   | Year 2   | Nursing (Diploma)
495  | 23/U/1494/EVE      | Joseph Nantongo           | Male     | Year 3   | Midwifery (Certificate)
496  | 25/U/1495/EVE      | Patricia Lubega           | Male     | Year 1   | Midwifery (Diploma)
497  | 24/U/1496/EVE      | Charles Okello            | Female   | Year 2   | Nursing (Certificate)
498  | 23/U/1497/EVE      | Sarah Okello              | Male     | Year 3   | Nursing (Diploma)
499  | 25/U/1498/EVE      | Joseph Akullo             | Female   | Year 1   | Midwifery (Certificate)
500  | 24/U/1499/EVE      | Linda Tumusiime           | Female   | Year 2   | Midwifery (Diploma)
501  | 23/U/1500/EVE      | William Kato              | Male     | Year 3   | Nursing (Certificate)
502  | 25/U/1501/EVE      | Michael Okello            | Female   | Year 1   | Nursing (Diploma)
503  | 24/U/1502/EVE      | Mariam Musoke             | Female   | Year 2   | Midwifery (Certificate)
504  | 23/U/1503/EVE      | William Byaruhanga        | Male     | Year 3   | Midwifery (Diploma)
505  | 25/U/1504/EVE      | Charles Namakula          | Male     | Year 1   | Nursing (Certificate)
506  | 24/U/1505/EVE      | Jessica Akullo            | Male     | Year 2   | Nursing (Diploma)
507  | 23/U/1506/EVE      | William Nantongo          | Male     | Year 3   | Midwifery (Certificate)
508  | 25/U/1507/EVE      | William Musoke            | Female   | Year 1   | Midwifery (Diploma)
509  | 24/U/1508/EVE      | Susan Nantongo            | Female   | Year 2   | Nursing (Certificate)
510  | 23/U/1509/EVE      | Jennifer Nakato           | Male     | Year 3   | Nursing (Diploma)
511  | 25/U/1510/EVE      | Thomas Okello             | Female   | Year 1   | Midwifery (Certificate)
512  | 24/U/1511/EVE      | Barbara Kato              | Female   | Year 2   | Midwifery (Diploma)
513  | 23/U/1512/EVE      | Michael Nakato            | Male     | Year 3   | Nursing (Certificate)
514  | 25/U/1513/EVE      | Thomas Okello             | Female   | Year 1   | Nursing (Diploma)
515  | 24/U/1514/EVE      | Elizabeth Mugisha         | Female   | Year 2   | Midwifery (Certificate)
516  | 23/U/1515/EVE      | Thomas Okello             | Male     | Year 3   | Midwifery (Diploma)
517  | 25/U/1516/EVE      | Elizabeth Ochieng         | Female   | Year 1   | Nursing (Certificate)
518  | 24/U/1517/EVE      | Sarah Ochieng             | Female   | Year 2   | Nursing (Diploma)
519  | 23/U/1518/EVE      | Mariam Musoke             | Female   | Year 3   | Midwifery (Certificate)
520  | 25/U/1519/EVE      | Jessica Namakula          | Female   | Year 1   | Midwifery (Diploma)
521  | 24/U/1520/EVE      | Susan Kato                | Female   | Year 2   | Nursing (Certificate)
522  | 23/U/1521/EVE      | Joseph Nantongo           | Female   | Year 3   | Nursing (Diploma)
523  | 25/U/1522/EVE      | Jessica Nantongo          | Female   | Year 1   | Midwifery (Certificate)
524  | 24/U/1523/EVE      | John Namakula             | Male     | Year 2   | Midwifery (Diploma)
525  | 23/U/1524/EVE      | Michael Namakula          | Male     | Year 3   | Nursing (Certificate)
526  | 25/U/1525/EVE      | Jennifer Akullo           | Female   | Year 1   | Nursing (Diploma)
527  | 24/U/1526/EVE      | Mariam Akullo             | Male     | Year 2   | Midwifery (Certificate)
528  | 23/U/1527/EVE      | John Babirye              | Male     | Year 3   | Midwifery (Diploma)
529  | 25/U/1528/EVE      | John Akullo               | Male     | Year 1   | Nursing (Certificate)
530  | 24/U/1529/EVE      | Barbara Ochieng           | Male     | Year 2   | Nursing (Diploma)
531  | 23/U/1530/EVE      | Susan Okello              | Male     | Year 3   | Midwifery (Certificate)
532  | 25/U/1531/EVE      | Linda Lubega              | Female   | Year 1   | Midwifery (Diploma)
533  | 24/U/1532/EVE      | David Lubega              | Male     | Year 2   | Nursing (Certificate)
534  | 23/U/1533/EVE      | James Kato                | Male     | Year 3   | Nursing (Diploma)
535  | 25/U/1534/EVE      | James Byaruhanga          | Female   | Year 1   | Midwifery (Certificate)
536  | 24/U/1535/EVE      | Karen Tumusiime           | Female   | Year 2   | Midwifery (Diploma)
537  | 23/U/1536/EVE      | James Lubega              | Male     | Year 3   | Nursing (Certificate)
538  | 25/U/1537/EVE      | Sarah Tumusiime           | Male     | Year 1   | Nursing (Diploma)
539  | 24/U/1538/EVE      | David Byaruhanga          | Male     | Year 2   | Midwifery (Certificate)
540  | 23/U/1539/EVE      | Michael Nakato            | Female   | Year 3   | Midwifery (Diploma)
541  | 25/U/1540/EVE      | Elizabeth Ochieng         | Female   | Year 1   | Nursing (Certificate)
542  | 24/U/1541/EVE      | Jennifer Ochieng          | Female   | Year 2   | Nursing (Diploma)
543  | 23/U/1542/EVE      | William Lubega            | Male     | Year 3   | Midwifery (Certificate)
544  | 25/U/1543/EVE      | Charles Tumusiime         | Male     | Year 1   | Midwifery (Diploma)
545  | 24/U/1544/EVE      | David Musoke              | Female   | Year 2   | Nursing (Certificate)
546  | 23/U/1545/EVE      | David Babirye             | Female   | Year 3   | Nursing (Diploma)
547  | 25/U/1546/EVE      | Mariam Namakula           | Female   | Year 1   | Midwifery (Certificate)
548  | 24/U/1547/EVE      | Joseph Akullo             | Male     | Year 2   | Midwifery (Diploma)
549  | 23/U/1548/EVE      | James Tumusiime           | Male     | Year 3   | Nursing (Certificate)
550  | 25/U/1549/EVE      | David Tumusiime           | Female   | Year 1   | Nursing (Diploma)
551  | 24/U/1550/EVE      | Richard Nantongo          | Male     | Year 2   | Midwifery (Certificate)
552  | 23/U/1551/EVE      | James Mugisha             | Female   | Year 3   | Midwifery (Diploma)
553  | 25/U/1552/EVE      | William Tumusiime         | Male     | Year 1   | Nursing (Certificate)
554  | 24/U/1553/EVE      | Linda Byaruhanga          | Female   | Year 2   | Nursing (Diploma)
555  | 23/U/1554/EVE      | Richard Lubega            | Male     | Year 3   | Midwifery (Certificate)
556  | 25/U/1555/EVE      | Barbara Mugisha           | Male     | Year 1   | Midwifery (Diploma)
557  | 24/U/1556/EVE      | Richard Nantongo          | Female   | Year 2   | Nursing (Certificate)
558  | 23/U/1557/EVE      | David Kato                | Female   | Year 3   | Nursing (Diploma)
559  | 25/U/1558/EVE      | Richard Namakula          | Female   | Year 1   | Midwifery (Certificate)
560  | 24/U/1559/EVE      | Joseph Kato               | Male     | Year 2   | Midwifery (Diploma)
561  | 23/U/1560/EVE      | Robert Mugisha            | Female   | Year 3   | Nursing (Certificate)
562  | 25/U/1561/EVE      | Charles Nakato            | Male     | Year 1   | Nursing (Diploma)
563  | 24/U/1562/EVE      | Elizabeth Nantongo        | Male     | Year 2   | Midwifery (Certificate)
564  | 23/U/1563/EVE      | Richard Lubega            | Male     | Year 3   | Midwifery (Diploma)
565  | 25/U/1564/EVE      | Sarah Mugisha             | Female   | Year 1   | Nursing (Certificate)
566  | 24/U/1565/EVE      | Charles Byaruhanga        | Male     | Year 2   | Nursing (Diploma)
567  | 23/U/1566/EVE      | Mariam Nantongo           | Male     | Year 3   | Midwifery (Certificate)
568  | 25/U/1567/EVE      | John Nantongo             | Male     | Year 1   | Midwifery (Diploma)
569  | 24/U/1568/EVE      | David Okello              | Male     | Year 2   | Nursing (Certificate)
570  | 23/U/1569/EVE      | William Akullo            | Male     | Year 3   | Nursing (Diploma)
571  | 25/U/1570/EVE      | Jessica Mugisha           | Female   | Year 1   | Midwifery (Certificate)
572  | 24/U/1571/EVE      | Charles Okello            | Female   | Year 2   | Midwifery (Diploma)
573  | 23/U/1572/EVE      | James Akullo              | Female   | Year 3   | Nursing (Certificate)
574  | 25/U/1573/EVE      | Thomas Ochieng            | Female   | Year 1   | Nursing (Diploma)
575  | 24/U/1574/EVE      | Patricia Ochieng          | Female   | Year 2   | Midwifery (Certificate)
576  | 23/U/1575/EVE      | David Okello              | Male     | Year 3   | Midwifery (Diploma)
577  | 25/U/1576/EVE      | William Ochieng           | Male     | Year 1   | Nursing (Certificate)
578  | 24/U/1577/EVE      | William Namakula          | Male     | Year 2   | Nursing (Diploma)
579  | 23/U/1578/EVE      | Linda Tumusiime           | Female   | Year 3   | Midwifery (Certificate)
580  | 25/U/1579/EVE      | David Byaruhanga          | Female   | Year 1   | Midwifery (Diploma)
581  | 24/U/1580/EVE      | Richard Ochieng           | Male     | Year 2   | Nursing (Certificate)
582  | 23/U/1581/EVE      | Mariam Akullo             | Female   | Year 3   | Nursing (Diploma)
583  | 25/U/1582/EVE      | John Nakato               | Female   | Year 1   | Midwifery (Certificate)
